meta,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12
"Atlanta, Georgia MSA ",2717,324,17072,1580,6760,2417,2045,611,81,788,212,814
"Baltimore, Maryland MSA ",3300,353,20795,1511,6621,2973,2591,650,80,1472,242,659
"Boston-Lawrence-Salem, Massachusetts-New Hampshire CMSA",4905,641,20802,1910,8591,3453,3083,657,203,2184,474,908
"Chicago-Gary-Lake County, Illinois-Indiana-Wisconsin CMSA",4250,510,20620,2206,8840,3485,2861,711,114,1486,362,863
"Cleveland-Akron-Lorain, Ohio CMSA ",3642,424,15483,1550,7010,3315,2423,460,113,1152,397,796
"Dallas-Fort Worth, Texas CMSA ",3600,408,18198,2161,8689,3032,2910,733,83,920,247,670
"Detroit-Ann Arbor, Michigan CMSA ",3944,367,16344,1678,9463,2672,2742,614,110,1270,504,943
"Houston-Galveston-Brazoria, Texas CMSA",3649,710,18866,2256,10843,3267,2972,711,110,1041,329,1220
"Los Angeles-Long Beach, California PMSA ",4260,504,21811,2140,8784,2620,2599,710,108,895,202,909
"Miami-Fort Lauderdale, Florida CMSA ",3741,349,19016,1677,8427,1565,1807,623,25,570,124,1183
"Minneapolis-St. Paul, Minnesota-Wisconsin MSA ",3942,683,19164,1864,8833,3314,3217,733,128,871,328,832
"New York-Northern New Jersey-Long Island, New York-New Jersey-Connecticut CMSA",4066,498,23624,2292,8495,3027,2828,686,110,2043,223,920
"Philadelphia-Wilmington-Trenton, Pennsylvania-New Jersey-Delaware-Maryland CMSA",3805,455,21135,1824,8202,3036,2873,655,142,2252,396,879
"Phoenix-Mesa, Arizona MSA",3596,503,18698,1793,9330,3326,3814,868,98,473,340,884
"San Diego, California MSA ",3644,647,22207,2407,7171,2249,2459,685,83,720,101,666
"San Francisco-Oakland-San Jose, California CMSA",4280,714,26064,2413,9535,3319,3247,909,150,1555,188,958
"Seattle-Tacoma, Washington CMSA ",4596,839,22029,2464,9380,3684,4463,833,218,1070,342,1490
"Washington, District of Columbia-Maryland-Virginia MSA ",4160,673,25622,2687,9563,3239,3320,969,146,1853,220,969
